area;rooms;bathroom;parking spaces;total
220;4;4;4;6903
52;1;2;1;6374
198;2;2;2;7590
30;2;1;0;1528
217;3;3;2;13520
290;4;4;0;8003
70;2;1;0;1942
45;1;1;0;3317
40;1;1;1;2547
180;4;3;2;5631
90;2;1;0;1558
26;1;1;0;1615
629;4;4;4;17290
120;4;3;2;3113
49;1;1;0;1224
44;2;1;1;1556
427;4;6;4;14920
286;4;5;4;8781
88;2;2;2;1948
120;2;3;2;9269
74;1;2;2;5191
350;3;4;4;3730
80;2;2;1;2409
63;2;2;1;5275
22;1;1;0;2044
94;2;3;0;3323
60;2;1;0;1650
190;4;4;0;6852
78;2;1;1;2942
300;5;4;4;10610
211;4;4;4;5134
84;2;1;1;1808
300;3;3;5;3982
497;5;5;4;8852
71;3;2;1;3192
138;2;1;0;1998
120;3;2;1;4047
110;2;2;1;4756
30;1;1;1;3365
386;4;6;3;18780
70;2;1;0;2802
120;3;2;2;2069
300;2;3;2;12440
40;1;1;0;809
210;3;2;1;11450
62;3;2;1;3102
84;3;2;1;2917
23;1;1;0;2501
140;2;4;2;8008
40;1;1;1;2652
148;3;3;0;4687
75;3;2;2;3075
40;1;1;0;677
77;2;2;2;5595
90;2;2;0;2480
300;4;4;0;4202
98;2;2;0;4082
64;2;2;1;3586
100;3;2;2;5162
80;2;1;0;1899
110;3;2;1;6056
40;1;1;0;1069
80;2;1;0;2775
17;1;1;0;2777
137;2;2;1;5080
230;4;3;4;9039
90;3;3;1;2585
347;4;7;6;10030
200;4;3;0;15280
56;1;1;0;1744
650;5;4;8;9070
30;1;1;0;1571
52;1;1;1;2139
120;3;2;2;6556
50;1;1;1;1114
120;3;2;1;3506
80;2;2;2;6264
58;2;2;1;5252
89;3;1;0;1833
250;3;4;3;12950
242;5;3;2;4694
55;2;1;1;2612
45;1;1;0;1246
204;4;6;4;11730
37;1;1;0;2121
50;1;1;0;2914
73;2;2;2;2078
180;6;2;2;4394
300;4;2;0;7098
71;2;2;1;2259
284;3;2;2;9568
37;1;1;1;1041
35;1;1;0;796
190;2;2;4;4264
67;2;1;1;2540
98;2;2;0;4093
260;4;5;2;11120
139;3;2;2;5845
76;2;2;1;2933
150;3;2;1;3744
51;1;1;1;1979
120;3;2;2;2068
42;1;1;0;1216
180;4;2;2;4605
65;2;1;0;4557
420;5;4;4;20350
90;2;2;2;3917
44;1;1;0;2182
240;2;3;1;8913
280;4;5;4;6796
120;2;2;3;6366
140;4;3;4;3757
65;2;2;1;2330
52;1;2;1;4859
199;3;4;3;10110
71;2;2;1;3920
42;1;1;0;3366
420;4;3;4;16480
169;2;1;1;2905
170;3;2;4;6328
45;2;2;0;1759
60;2;1;1;3493
76;3;2;2;2488
47;1;1;1;2633
22;1;1;0;2755
63;2;2;1;2516
33;1;1;1;4276
96;3;2;2;3060
573;4;3;6;10900
84;3;1;0;3445
400;4;4;3;10490
150;3;3;2;2326
120;3;1;0;2856
78;2;1;1;1808
20;1;1;0;2555
117;2;1;1;2584
40;1;1;0;2467
50;2;1;0;2165
80;3;1;1;1715
65;2;1;1;3270
90;2;2;0;1496
76;2;1;1;6371
85;3;2;2;3714
76;1;2;2;3596
92;2;1;1;2997
150;3;3;3;5004
515;5;4;3;21040
91;2;1;0;1755
161;3;3;3;17860
64;2;1;1;1929
59;1;1;1;2600
150;4;4;4;5668
90;3;4;2;7036
30;1;1;0;2503
127;2;3;1;3264
48;1;1;1;3330
90;2;2;1;4982
20;1;1;0;2555
82;2;1;1;4423
66;2;2;2;3228
81;3;1;1;3878
170;3;3;3;4503
280;4;7;4;4050
70;2;1;1;1759
69;2;2;2;3365
143;3;2;3;3384
50;1;1;0;1303
102;3;2;0;3698
60;2;1;0;1257
265;3;3;2;2577
76;2;1;1;4318
96;3;2;2;10020
70;2;1;1;2460
140;3;4;2;14520
81;2;1;1;3773
52;2;1;0;1957
298;5;3;3;9505
70;2;2;2;2218
92;2;1;1;2053
190;4;3;2;12300
42;1;1;0;32750
40;1;1;1;3331
312;4;4;3;20280
106;2;1;2;2242
110;3;3;2;4404
384;5;5;3;13340
69;2;1;0;1868
82;2;2;0;5396
500;7;6;3;15630
130;3;2;1;6159
55;1;1;0;1661
170;4;4;2;4664
183;4;2;0;3595
336;3;5;3;6598
45;1;1;1;8590
40;1;1;0;2112
45;3;1;0;1449
180;3;3;0;2779
23;1;1;0;2568
53;1;1;0;805
100;2;2;1;5341
400;4;5;4;14370
92;1;3;1;4571
420;6;4;0;4879
78;3;1;1;3837
70;2;1;1;2328
500;6;5;8;8746
130;3;4;2;5193
24;1;1;0;2513
125;2;1;1;2789
242;3;4;2;7710
69;3;1;1;1628
135;2;2;1;4514
43;2;1;1;928
565;4;5;6;19520
62;2;1;1;1854
112;4;1;2;2144
31;1;1;1;3085
89;3;3;0;4669
100;2;2;0;2240
65;2;1;0;6927
60;3;2;0;2830
75;3;2;1;2527
41;1;1;1;1742
100;2;1;0;4107
288;3;2;2;4213
400;5;6;0;5279
240;3;2;1;15890
80;1;1;1;1243
43;2;1;1;1294
25;1;1;0;1251
49;2;1;1;2791
40;1;1;0;1048
71;2;1;0;1522
50;2;1;0;1924
44;1;1;0;1953
400;4;2;8;7426
225;3;3;2;5148
82;3;2;2;3288
102;3;1;1;1787
981;3;2;4;11630
25;1;1;0;760
230;3;4;0;5439
280;3;4;3;7233
69;3;1;1;2102
58;1;2;0;2411
58;1;1;0;1602
64;2;1;1;1199
84;3;1;1;2978
35;1;1;0;1586
78;2;1;0;2565
55;2;1;2;1915
250;4;5;4;20230
110;3;2;0;6323
206;2;1;3;3767
150;3;4;1;4805
180;4;3;2;11460
330;4;5;4;7348
68;1;1;0;1117
280;4;4;4;9377
85;3;2;1;2498
55;2;1;0;1890
90;3;2;1;3961
96;3;1;1;1254
250;4;1;8;2391
80;2;2;1;2427
41;1;2;1;3308
75;2;1;3;3482
800;7;7;8;12140
45;1;1;0;1797
74;2;2;2;6184
160;4;3;2;3904
50;1;1;0;1979
126;2;3;1;12440
65;1;1;1;5586
120;3;2;2;5029
150;4;2;2;5382
76;1;1;1;3631
226;4;5;4;21790
22;1;1;0;991
154;3;3;1;8283
56;2;2;2;2173
212;3;5;4;4662
62;3;2;1;1792
80;2;2;2;12430
420;4;4;4;20150
32;1;1;0;1014
30;1;1;1;3039
70;2;2;0;1078
200;3;3;2;6841
25;1;1;0;1452
42;1;1;1;4528
135;3;3;2;6538
47;1;1;0;1202
35;1;1;0;1108
75;3;2;0;3129
300;2;2;0;3338
45;1;1;1;4697
850;5;7;8;10170
140;3;2;2;3980
60;2;1;0;1241
50;1;1;0;1303
150;4;5;2;4357
160;3;2;1;8217
334;3;3;8;8939
330;4;3;0;10700
38;1;1;0;2037
280;4;7;4;4032
200;3;3;2;9000
100;4;5;2;11510
80;2;1;0;2035
267;3;6;6;5343
130;3;1;1;4730
70;2;3;1;3348
213;3;5;5;10080
35;1;1;0;832
312;4;5;4;20100
160;3;4;3;4917
22;1;1;0;2365
400;4;4;3;13130
45;1;2;1;2721
237;4;4;0;12300
180;3;3;0;13910
30;1;1;0;2177
13;1;1;0;2270
140;4;4;2;7010
62;2;1;1;1248
76;2;1;0;1688
220;3;4;4;6602
143;3;3;2;5192
44;2;1;0;931
90;3;2;1;2468
190;4;3;3;6605
79;2;3;1;6140
45;1;1;2;2688
73;3;2;2;3126
168;3;4;5;5446
95;3;2;3;3260
180;2;2;1;2226
65;2;2;0;1983
110;4;2;0;1881
58;1;1;1;5710
15;1;1;0;719
213;4;3;5;4257
162;4;4;3;7961
49;1;1;0;4381
32;1;1;0;1418
78;3;2;2;3435
240;4;4;2;5719
150;3;2;1;1507
60;2;1;1;1588
160;3;2;3;4184
74;2;2;2;4707
280;4;4;8;7834
42;1;1;0;1204
102;3;2;5;3131
123;3;2;2;3827
50;2;1;1;1043
125;3;2;2;1731
240;3;2;4;6098
85;3;2;3;3278
260;4;5;4;17760
22;1;1;0;884
278;3;2;1;11140
18;1;1;0;1575
196;3;4;1;7571
26;1;1;0;3746
100;4;2;2;3595
460;4;3;6;16190
189;4;3;2;9467
226;3;3;0;6125
418;2;4;3;12350
660;5;5;4;7476
120;1;2;1;1129
70;2;1;1;1618
400;10;5;8;12480
82;3;3;2;2223
210;3;4;4;18190
92;3;2;2;2690
64;3;1;0;1661
35;2;1;0;1370
120;2;2;2;2957
16;1;1;0;1275
60;2;1;0;1264
223;3;5;2;5032
50;1;1;0;813
30;1;1;0;1389
111;2;2;1;5120
290;4;3;2;10990
80;3;1;1;1768
353;4;5;5;13130
55;2;1;1;2731
49;2;1;1;1314
50;2;1;0;1332
182;4;4;2;9647
42;1;1;1;4438
500;5;7;5;21760
56;1;1;0;1267
170;3;2;1;7044
160;3;3;2;7634
70;1;1;2;1383
120;2;1;4;2496
65;2;1;1;2222
300;4;4;6;10750
140;3;2;2;13410
108;2;3;2;2832
220;3;3;4;4905
157;3;3;4;6988
101;3;4;2;4800
87;3;2;4;2893
123;3;2;2;3008
67;1;2;1;3443
200;3;3;8;5057
48;2;1;1;2287
51;2;1;1;997
54;2;1;1;1566
280;3;3;2;9414
172;3;4;3;10440
136;3;2;2;16820
300;4;2;0;22030
26;1;1;0;2622
52;1;1;0;1715
72;2;2;1;1721
240;3;3;1;9808
100;3;2;6;8613
145;3;3;2;16120
60;2;2;2;2212
260;2;2;1;2225
28;1;1;0;1665
25;1;1;0;1313
45;2;1;1;2279
115;3;2;2;2559
48;2;1;0;1308
150;3;3;8;9205
160;4;3;2;4108
700;4;4;4;32040
340;4;6;4;14210
25;1;1;0;2081
79;3;2;2;2049
35;1;1;1;2285
270;3;4;0;3710
156;3;4;3;6981
50;1;1;1;3420
60;1;1;2;5611
140;3;4;3;5640
53;1;1;0;1940
200;4;4;4;4734
125;4;2;2;3495
160;3;4;3;9491
300;4;5;3;11730
175;3;3;2;4355
158;3;2;2;10550
110;3;2;1;4346
168;3;2;2;2690
120;3;1;2;3670
230;4;3;4;19800
255;3;4;2;9177
23;1;1;1;2861
120;3;2;1;3562
45;1;1;2;2688
154;3;2;1;2486
50;1;1;1;4579
104;3;2;2;8977
50;2;1;1;3563
75;2;2;1;1921
145;3;2;1;3055
211;3;5;3;10340
30;1;1;0;2087
170;4;3;1;5217
86;2;2;1;2708
230;3;4;3;5595
61;1;2;2;6501
383;4;4;5;5941
210;3;3;0;6317
60;2;2;1;6697
213;4;6;4;12780
93;2;2;3;5054
50;1;1;1;6361
149;2;3;3;7044
410;4;5;5;20250
40;1;1;1;3795
46;1;1;0;2280
378;4;4;8;11490
60;2;2;2;4741
180;2;3;1;11810
70;2;2;2;1864
68;2;1;1;2127
85;2;2;1;2665
140;4;2;2;2983
52;2;2;1;2118
63;2;2;0;3147
65;2;2;2;4633
60;3;1;1;1374
27;1;1;0;1517
260;4;4;3;20110
44;1;1;1;1616
170;3;3;2;5257
118;3;2;1;6137
114;3;2;2;4828
154;4;2;2;4608
108;3;1;1;17830
147;3;2;2;5373
365;3;4;3;17100
109;3;2;1;3333
148;3;3;2;2922
250;3;4;2;6166
79;2;1;1;1283
66;2;1;1;3607
54;1;1;1;1419
87;3;1;1;2010
640;4;4;4;17310
71;2;1;0;1667
35;1;1;1;2242
57;2;2;1;2964
38;1;1;0;1741
70;2;2;1;4860
350;2;4;8;3800
300;4;3;2;15410
80;2;2;0;1891
160;3;3;1;4305
117;3;2;2;7312
112;3;2;2;5060
100;2;2;1;1899
160;4;2;1;5785
68;2;1;0;1000
530;4;4;4;10560
210;3;2;2;3654
33;1;1;0;4025
40;2;1;0;1462
200;5;5;8;7116
58;2;1;2;1761
120;3;3;2;5378
162;3;4;0;3516
301;4;5;4;18520
40;1;1;0;2011
45;1;1;0;1797
135;3;2;1;5468
135;3;2;1;4989
102;3;2;2;6956
76;2;2;2;2519
180;4;1;1;11430
72;2;2;1;1337
128;2;3;1;5234
60;3;2;0;2830
44;1;1;0;3012
189;3;3;1;8388
450;6;2;8;4269
286;4;4;5;12090
276;4;6;4;9721
60;1;2;1;4693
40;1;1;0;942
57;2;2;1;2424
45;1;1;1;1167
42;1;1;1;4279
68;2;1;1;1717
120;3;2;1;6867
360;4;4;2;14530
140;2;1;0;1842
35;1;1;0;1144
16;1;1;0;922
110;3;1;1;1997
69;2;1;1;1538
59;2;2;0;2041
336;4;4;6;8743
210;4;4;3;8781
242;4;5;4;16350
28;1;1;0;930
220;4;3;3;14530
62;3;2;1;2192
111;3;2;2;4971
159;3;2;2;3866
70;2;2;0;3069
150;3;2;2;3591
50;1;1;1;4953
450;3;3;8;5491
64;2;1;1;1192
600;5;7;5;5434
70;1;1;0;3780
76;3;2;0;2511
280;3;3;4;7453
172;2;4;3;13320
246;3;4;4;16700
64;2;1;1;2021
30;1;1;0;558
80;3;2;1;2250
87;3;1;1;2769
50;1;1;1;1062
50;1;1;0;1232
30;1;1;0;2045
43;1;1;0;1739
300;3;4;0;12150
58;1;2;1;1650
30;1;1;1;3079
54;2;1;0;2428
80;2;2;1;4763
62;2;2;1;2113
66;2;2;0;1818
80;2;2;1;1956
560;4;4;7;28790
30;1;1;1;4534
50;1;1;0;1625
81;2;2;1;4386
218;4;4;4;8935
54;2;1;2;1562
60;2;1;0;1219
100;3;1;1;1366
156;2;3;2;16090
300;3;4;3;7051
39;1;1;1;3327
150;4;3;4;3546
140;2;3;4;8966
240;4;4;3;7846
70;2;1;0;1390
462;4;7;4;5666
67;3;1;1;1293
100;2;1;0;1283
113;3;3;1;1553
99;3;2;1;3012
120;2;1;1;2307
110;3;2;3;3040
38;1;1;1;1388
100;3;1;1;2197
135;4;2;2;6101
130;3;2;1;5080
80;3;2;1;1643
300;3;2;5;13670
72;2;1;2;1610
70;3;2;2;2783
395;4;4;3;18160
540;6;8;3;15730
318;4;6;4;13740
42;2;1;1;1109
52;1;1;1;2054
167;3;2;1;13310
50;1;1;0;1813
65;2;2;1;1470
140;4;4;3;6029
92;3;1;1;1965
150;4;3;3;4837
60;1;1;0;1642
308;4;5;6;15850
159;2;3;1;4596
240;3;5;4;8072
65;3;2;0;2251
200;3;2;2;5243
130;3;5;2;5035
21;1;1;0;1735
68;2;1;1;2288
40;1;1;0;1402
310;4;3;6;3338
103;2;1;1;1793
650;5;7;4;23570
30;1;1;0;897
155;4;5;3;6860
107;2;2;1;3033
340;4;5;5;20750
70;3;1;0;1595
58;2;2;1;1359
70;3;2;1;4070
240;3;3;0;4957
130;3;2;1;4437
310;5;6;5;18860
60;1;1;1;2102
319;4;6;5;18080
81;2;1;0;1522
306;3;5;0;8132
113;2;2;1;4089
280;3;4;2;11140
270;3;3;3;16920
78;2;1;1;2706
60;1;2;1;1553
30;1;1;0;821
58;2;1;1;1482
65;1;1;0;2204
58;1;1;1;2418
22;1;1;0;2552
32;1;1;1;4226
176;3;5;3;7058
350;7;5;4;7980
260;4;4;2;7610
100;2;1;0;2533
65;1;1;0;4438
600;7;6;1;17660
300;4;3;1;5444
430;4;3;4;10060
260;5;5;4;14720
211;3;4;3;8830
103;3;2;1;2821
62;2;2;0;2079
80;2;2;1;4850
60;1;1;1;1198
27;1;1;0;4950
486;4;6;5;13310
40;1;1;1;2284
60;2;1;0;3740
64;2;2;0;2998
660;5;7;4;16610
62;3;2;1;2972
50;2;1;1;1140
380;3;4;4;9073
134;3;3;2;3709
74;2;2;0;4961
68;2;2;1;3924
33;1;1;0;2163
60;2;1;0;1117
50;1;1;1;4484
57;2;2;2;2674
39;1;1;1;1586
45;1;1;1;802
221;3;2;2;6738
140;3;2;0;4697
650;5;4;2;16270
210;5;4;1;16890
100;4;2;3;3900
220;3;3;2;11980
42;1;1;0;1592
98;3;2;0;4115
150;3;1;2;9268
170;3;3;4;3775
60;2;1;0;1636
120;3;4;2;3838
142;2;3;2;5487
90;2;2;1;3121
140;3;3;2;8977
26;1;1;0;1567
20;1;1;0;801
24;1;1;1;559
140;3;2;0;3482
134;4;2;3;4003
400;5;4;2;5533
18;1;1;0;1336
62;1;1;1;4569
192;3;3;3;9003
80;3;2;1;2791
38;1;1;1;3335
112;2;3;2;1953
15;1;1;0;1615
29;1;1;0;1314
55;2;1;1;1264
88;3;1;2;4516
100;4;1;0;1725
92;3;2;1;2233
154;4;2;2;6468
240;4;3;3;15700
28;1;1;0;1364
50;1;1;0;1303
180;3;3;2;10620
35;1;1;0;1011
64;2;1;1;3546
60;2;1;1;1882
239;4;4;3;6540
130;3;2;1;3539
85;2;2;0;1838
75;2;2;1;2986
90;2;2;1;1828
100;3;1;1;1905
70;2;2;1;2139
86;3;1;0;2155
29;1;1;0;2030
82;2;2;1;2242
55;2;1;1;2286
47;1;1;1;2633
33;1;1;0;4601
50;1;1;1;2603
159;4;2;0;4623
62;3;2;1;1408
80;2;1;2;1593
170;3;4;3;7014
68;2;2;1;2309
300;4;4;3;5441
50;2;1;1;1582
80;2;2;1;3129
40;2;1;1;1164
270;3;4;2;9573
75;3;1;1;1524
60;1;2;2;3358
300;4;5;4;12530
73;2;1;2;1428
85;2;1;1;1305
100;3;3;1;2437
49;1;1;0;1021
35;1;1;0;2243
240;3;4;1;17140
45;1;1;0;914
55;2;1;1;3401
305;4;3;4;16700
622;5;5;6;11090
55;2;1;1;1533
42;1;1;0;3097
132;3;3;2;1727
53;2;1;0;1564
998;7;10;4;20230
22;1;1;0;2791
35;1;1;0;1271
189;4;2;2;10630
375;4;5;3;9986
65;2;1;1;1780
462;4;6;4;9202
150;2;1;0;2594
350;2;2;2;4515
260;4;5;4;11070
61;1;1;0;1357
175;4;3;2;2934
70;2;1;0;2120
60;2;1;1;2120
296;6;4;8;5654
96;2;2;1;4042
150;4;2;3;11300
375;4;4;3;6572
70;3;1;1;2137
127;4;3;2;6505
67;2;2;2;3688
50;1;2;1;4306
56;2;1;0;2022
55;2;1;1;2819
34;1;1;0;960
68;2;1;0;1488
80;2;1;0;2200
120;3;1;1;2553
50;1;1;1;2352
78;2;2;1;1775
90;2;2;1;4809
320;5;4;6;8716
560;5;6;4;5990
25;1;1;0;2499
37;1;1;0;953
95;3;1;0;4978
130;3;3;2;3485
270;5;4;6;4088
40;1;1;0;720
65;2;2;3;1946
45;1;1;0;1411
20;1;1;0;2087
720;4;5;5;16570
80;3;2;2;2940
90;2;1;0;1053
60;1;2;0;1079
45;1;1;1;5194
100;1;2;0;7460
553;4;6;3;15270
250;4;3;2;4434
92;3;2;3;4689
98;1;2;0;18500
114;3;2;1;2561
27;1;1;1;2634
225;1;2;0;3781
30;1;1;0;2102
135;3;3;4;4259
150;4;3;4;5145
190;4;2;0;7072
47;1;1;1;2633
120;3;1;1;1235
90;3;2;1;3085
350;4;5;2;7613
160;3;4;2;4574
150;3;2;0;4533
35;1;1;0;2902
25;1;1;0;559
240;4;4;4;17540
150;4;2;2;6193
20;1;1;0;710
85;3;2;1;2147
50;2;1;1;2315
197;3;3;2;11650
70;3;2;1;3703
220;3;2;2;5661
270;4;3;2;6305
100;3;2;2;3278
195;4;6;3;10250
160;3;3;2;4606
470;4;6;3;8443
60;3;2;1;1582
300;4;4;3;13680
330;5;6;2;10110
109;1;2;2;4946
240;4;5;4;16850
150;3;2;5;2595
200;3;2;1;6683
140;4;3;1;2973
106;2;2;2;12240
92;2;2;1;5386
35;1;1;1;2708
70;3;2;1;4162
74;2;1;2;8208
69;2;2;2;2988
50;1;1;0;843
450;5;3;6;4939
68;2;1;0;2006
71;1;1;1;4927
69;2;1;1;1944
32;1;1;1;1843
57;2;1;1;2223
28;1;1;0;2800
39;1;1;0;2326
140;3;3;0;2600
160;3;3;2;4777
235;3;3;1;8376
171;3;2;1;3728
139;3;2;2;8665
160;4;3;2;3324
60;2;1;1;1356
134;3;3;3;4207
70;2;1;1;2340
57;2;1;0;1650
240;3;3;4;10000
50;1;1;0;847
120;3;2;1;5256
200;3;3;4;4378
572;6;6;4;10280
145;2;2;1;5514
70;2;1;2;1393
85;2;2;1;12460
140;3;2;0;3242
260;4;5;5;17330
211;4;4;4;6008
58;2;1;1;939
110;1;1;2;6835
72;2;2;0;2410
700;4;7;8;54430
68;1;2;1;7346
100;3;3;2;3997
240;3;2;0;8744
104;3;1;0;4525
70;1;1;1;1981
67;1;1;1;3625
160;4;2;5;4009
64;3;1;0;1661
140;3;3;5;10810
38;1;1;0;1151
34;1;1;0;3164
54;2;1;0;2562
54;1;1;1;8592
200;3;2;4;4053
107;3;2;2;4105
70;2;2;0;2526
20;1;1;0;2555
86;2;1;1;3350
30;1;1;1;1525
108;3;2;1;2945
250;4;3;4;2895
80;2;1;0;3060
73;2;1;1;2137
45;1;1;1;1545
45;2;2;0;1759
255;4;4;0;8016
217;4;3;4;9901
70;1;1;0;2366
25;1;1;0;897
110;3;3;0;3773
80;2;2;1;11440
260;3;5;0;9770
50;2;2;1;3441
60;2;1;1;1271
400;3;6;6;6973
113;2;1;1;4089
400;4;4;6;13750
64;2;2;2;2783
82;2;1;2;5493
65;2;1;3;3043
128;4;3;2;6557
38;1;1;0;1023
175;3;2;0;2031
107;3;3;2;6575
257;4;3;2;7808
35;1;1;1;3872
463;4;7;6;13450
40;2;1;0;1322
297;4;2;3;4094
137;3;3;1;7120
35;1;1;0;1794
128;3;3;1;4738
59;2;1;1;1527
400;4;4;2;13640
100;3;2;1;5663
50;1;1;0;2994
80;2;2;1;2788
68;2;2;2;2056
32;1;1;1;4442
161;3;3;3;6498
85;2;2;0;1726
100;2;2;0;2812
136;3;4;3;6581
362;4;5;2;7940
276;3;3;4;11830
22;1;1;0;1447
60;2;1;0;1151
500;4;7;8;10560
65;1;1;1;1459
56;2;1;1;2983
35;1;1;1;3186
98;3;2;2;3388
45;1;1;0;995
48;2;1;1;1147
48;1;1;1;2052
114;2;3;1;8168
197;4;2;3;5557
200;4;1;2;3088
110;3;2;0;2541
300;2;4;2;6510
120;3;1;1;3206
40;1;1;0;1516
92;2;1;1;4691
140;3;2;2;7793
244;4;3;4;11550
59;2;1;0;1383
35;1;1;0;832
120;3;2;3;3718
248;4;5;4;11970
63;2;2;1;2522
45;1;1;1;2689
129;2;3;2;3848
300;3;3;8;5146
29;1;1;1;2996
100;3;2;1;2182
153;4;3;3;8770
87;2;1;1;2048
75;1;1;2;8388
300;4;4;2;18350
48;1;1;0;1351
56;2;2;1;2526
71;2;1;1;1774
84;4;1;3;8795
208;3;4;3;4019
100;1;2;1;7945
84;3;2;2;2839
145;4;3;2;7005
300;4;3;2;16270
65;2;2;1;7307
27;1;1;0;849
102;3;2;1;3408
60;2;1;1;3334
60;1;1;0;1605
50;1;1;0;2161
97;3;1;1;3117
52;1;2;1;6374
373;4;4;3;18830
157;4;3;2;7200
68;3;1;1;1719
172;4;4;3;11450
64;2;2;2;4410
41;1;1;0;2607
106;2;2;1;4083
150;4;2;3;4584
135;4;2;2;4114
350;4;6;6;11110
360;3;1;3;1667
700;4;7;8;17480
100;2;2;1;11800
50;1;1;2;1516
55;3;1;1;1775
215;4;4;2;8861
287;3;2;5;15230
58;2;1;1;1946
90;3;2;2;2771
200;3;3;3;3606
65;3;2;1;2883
820;4;6;6;15150
102;2;1;0;2673
108;3;2;2;7000
86;3;2;2;4143
210;6;3;0;4264
140;4;2;2;5713
220;4;4;3;8100
66;2;1;1;1413
389;4;5;6;14440
80;3;3;1;2681
78;2;2;1;3168
178;4;2;5;6550
47;2;1;1;1784
160;4;1;1;2186
25;1;1;0;760
80;2;2;2;1953
144;3;3;2;5185
400;5;7;4;12090
100;3;2;1;15160
48;2;1;0;1345
64;3;2;2;2084
50;2;1;0;911
50;1;1;1;6479
60;2;2;1;2284
180;3;2;1;7239
339;3;3;4;4292
54;1;1;1;3258
420;4;6;4;21020
350;4;5;4;9218
72;2;2;2;4149
50;1;1;0;872
450;4;4;4;12580
60;2;1;0;3830
160;2;3;3;8030
450;4;4;5;17010
265;3;4;3;3993
103;3;1;3;4592
60;2;2;1;2311
136;3;3;3;9941
45;2;1;1;1015
206;3;3;4;15220
229;4;2;3;7079
70;1;2;1;1498
130;3;2;0;6518
87;2;1;0;1611
200;4;5;3;9077
50;1;1;1;1508
120;3;2;1;3541
40;1;1;0;2028
54;2;1;1;2552
48;2;1;0;1468
149;3;4;3;7927
45;2;1;1;1872
76;2;2;2;3664
60;2;1;0;2361
118;3;3;2;11270
200;2;3;1;16090
200;2;2;1;5076
138;3;4;2;12150
53;2;1;1;2166
61;1;1;1;5197
135;3;3;2;5332
50;1;1;0;787
34;1;1;1;2617
218;3;3;3;7126
400;3;5;4;14880
25;1;1;1;642
360;5;3;3;3563
72;2;1;1;4032
45;2;1;1;1955
340;3;5;5;4887
130;3;3;2;3277
72;3;2;2;3900
50;1;1;0;914
100;2;2;0;6213
270;3;2;4;17620
60;2;1;1;1465
46335;4;8;5;10220
700;3;3;8;10970
550;4;5;0;11610
21;1;1;1;1994
55;1;2;1;4726
40;1;2;1;6507
50;1;1;1;2191
52;1;1;1;4941
46;2;1;1;1742
20;1;1;1;1115
50;1;1;0;1125
49;1;2;1;3325
440;3;2;3;10840
59;2;1;1;1358
150;4;1;3;2338
100;3;2;0;2928
72;2;2;1;3034
500;7;7;8;10800
264;3;5;0;6579
76;2;2;2;6778
16;1;1;0;882
198;3;2;2;5026
190;3;2;1;5751
210;4;4;4;15980
233;3;1;1;2980
180;3;2;2;11320
1020;5;4;6;7281
320;3;3;2;7909
116;3;2;2;6251
128;2;1;1;9817
42;2;1;1;1224
70;2;1;1;4554
320;3;4;4;20290
77;2;2;1;2012
208;3;3;3;18880
115;3;3;3;2508
60;2;1;1;1744
50;1;1;0;1291
108;2;4;2;6369
64;2;2;1;8497
178;3;2;1;3683
53;1;1;0;1784
118;3;2;0;3125
65;2;1;1;1739
180;3;3;2;9566
348;3;3;3;5323
150;3;3;1;7271
45;1;1;0;1038
37;1;1;1;3840
540;4;4;6;6841
521;5;2;3;10910
147;4;3;3;6745
130;3;2;1;4983
190;3;2;1;3756
28;1;1;0;1939
160;3;3;3;7975
310;3;2;0;8363
530;4;5;6;13200
59;2;1;1;2017
800;5;4;8;16660
77;2;1;0;2673
160;3;2;1;6355
47;1;1;1;2353
52;2;1;1;1174
60;1;2;1;5318
120;3;3;2;4289
55;2;1;0;912
110;3;3;2;3897
145;3;4;0;3319
88;2;4;2;3549
49;2;1;1;2379
26;1;1;0;4175
36;1;1;0;1981
150;3;2;5;2392
77;1;1;1;5773
60;1;1;2;1685
58;2;2;1;2072
145;4;4;3;6805
408;4;6;3;19660
50;1;1;0;831
85;3;2;2;4358
210;3;3;3;4898
100;3;1;2;1941
68;2;1;1;2486
42;1;1;1;2573
87;3;1;0;2147
40;1;1;0;1287
50;2;1;1;2547
85;2;2;0;3330
55;1;1;1;2598
127;2;2;2;7481
172;3;5;3;6495
75;2;1;2;1653
50;1;1;1;3662
120;4;2;5;4264
95;3;2;2;4422
300;5;3;6;5620
44;1;1;0;1981
563;3;6;4;21670
65;2;2;0;1956
170;2;2;1;3942
22;1;1;1;1520
410;4;4;4;5447
60;2;1;1;2021
47;1;1;0;3803
72;2;2;0;2410
157;4;3;3;10950
280;3;4;2;7690
68;3;2;1;1976
56;1;1;0;1014
140;2;4;1;11510
50;2;1;0;1282
40;2;1;1;1606
260;3;4;4;17150
700;6;8;8;15230
130;2;1;0;2221
215;3;2;0;5334
300;4;3;2;7854
250;4;5;4;18020
80;2;2;1;6893
54;2;1;0;1719
57;1;2;1;1319
130;3;2;1;6058
48;1;1;2;9408
318;4;3;0;19720
77;1;2;1;8798
42;1;1;1;4129
74;3;1;0;1665
452;4;6;4;15640
41;1;2;1;2903
90;2;2;2;3417
145;1;3;1;9841
70;1;2;0;2622
180;3;4;5;3616
68;2;1;0;1837
300;4;4;3;10920
270;3;3;1;6621
63;1;1;1;957
140;2;3;1;6620
220;5;4;3;8546
90;3;2;2;4365
